0,1,2,3,4,5,6,7,8,9,10
pork,whipped/sour cream,dishes,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
berries,cake bar,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,frozen meals,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
margarine,whole milk,,,,,,,,,
bottled water,potato products,bottled water,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
beef,newspapers,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
dessert,berries,newspapers,onions,,,,,,,
margarine,frozen vegetables,,,,,,,,,
other vegetables,dishes,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
soda,curd,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
napkins,pastry,,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
nuts/prunes,white wine,,,,,,,,,
other vegetables,margarine,,,,,,,,,
yogurt,margarine,yogurt,soft cheese,,,,,,,
soda,soda,pip fruit,popcorn,soda,pasta,whole milk,dental care,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
bottled water,frozen potato products,,,,,,,,,
tropical fruit,soda,,,,,,,,,
dessert,other vegetables,,,,,,,,,
pork,soda,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
pot plants,chicken,,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
root vegetables,margarine,,,,,,,,,
frozen meals,napkins,,,,,,,,,
pork,rolls/buns,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
herbs,soups,,,,,,,,,
whole milk,brandy,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
rolls/buns,berries,,,,,,,,,
grapes,semi-finished bread,,,,,,,,,
sausage,frankfurter,napkins,soda,,,,,,,
white bread,frozen vegetables,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
dog food,bottled beer,,,,,,,,,
misc. beverages,bottled beer,dishes,onions,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
napkins,soda,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
whole milk,other vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
sugar,whole milk,ketchup,,,,,,,,
canned beer,berries,,,,,,,,,
whole milk,liquor,,,,,,,,,
pip fruit,soda,,,,,,,,,
chicken,tropical fruit,citrus fruit,yogurt,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
pastry,canned beer,,,,,,,,,
brown bread,curd,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
specialty cheese,butter,,,,,,,,,
frozen meals,brown bread,dishes,,,,,,,,
frankfurter,chocolate,,,,,,,,,
ice cream,sliced cheese,,,,,,,,,
citrus fruit,shopping bags,chewing gum,cake bar,,,,,,,
pickled vegetables,soda,,,,,,,,,
processed cheese,canned vegetables,,,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
citrus fruit,rolls/buns,,,,,,,,,
margarine,specialty bar,,,,,,,,,
chewing gum,other vegetables,pip fruit,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
chewing gum,ham,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
specialty chocolate,whole milk,,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
other vegetables,sweet spreads,yogurt,,,,,,,,
curd,coffee,,,,,,,,,
waffles,salty snack,hard cheese,,,,,,,,
chicken,flower soil/fertilizer,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
bottled water,processed cheese,packaged fruit/vegetables,yogurt,,,,,,,
citrus fruit,cat food,,,,,,,,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
sausage,frozen vegetables,onions,canned beer,,,,,,,
turkey,chocolate,,,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
beef,whole milk,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
bottled water,roll products ,butter,coffee,rum,,,,,,
pastry,syrup,,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
pastry,whole milk,,,,,,,,,
pork,tropical fruit,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
pork,brown bread,,,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pip fruit,pastry,,,,,,,,,
pork,chewing gum,canned fish,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
frankfurter,whole milk,,,,,,,,,
coffee,bottled water,,,,,,,,,
chicken,pastry,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
sausage,soda,frozen vegetables,,,,,,,,
sausage,whole milk,whipped/sour cream,yogurt,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
whole milk,specialty bar,newspapers,,,,,,,,
soda,brown bread,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
sugar,curd,,,,,,,,,
butter milk,beverages,butter,,,,,,,,
canned beer,coffee,,,,,,,,,
whole milk,rolls/buns,canned fruit,onions,soda,,,,,,
other vegetables,soda,,,,,,,,,
yogurt,newspapers,,,,,,,,,
canned beer,chicken,other vegetables,,,,,,,,
brown bread,pot plants,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pet care,long life bakery product,,,,,,,,,
canned beer,rolls/buns,other vegetables,dog food,,,,,,,
ham,cream cheese ,,,,,,,,,
ice cream,whole milk,,,,,,,,,
specialty bar,shopping bags,,,,,,,,,
sausage,whipped/sour cream,soda,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
hamburger meat,bottled water,,,,,,,,,
sausage,newspapers,soda,,,,,,,,
onions,hygiene articles,,,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
frankfurter,shopping bags,frozen vegetables,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
tropical fruit,onions,,,,,,,,,
ham,frozen meals,,,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
fish,meat,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
sausage,cake bar,,,,,,,,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
waffles,rolls/buns,,,,,,,,,
dessert,butter milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
semi-finished bread,other vegetables,,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
sausage,detergent,bottled beer,,,,,,,,
dessert,rice,,,,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
bottled water,other vegetables,spread cheese,yogurt,specialty bar,,,,,,
other vegetables,rolls/buns,,,,,,,,,
newspapers,canned beer,,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
berries,newspapers,,,,,,,,,
meat,butter,cleaner,misc. beverages,,,,,,,
other vegetables,newspapers,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
dishes,misc. beverages,,,,,,,,,
soda,beverages,,,,,,,,,
butter,other vegetables,yogurt,,,,,,,,
soda,shopping bags,,,,,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
UHT-milk,yogurt,pastry,UHT-milk,,,,,,,
butter,sugar,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
bottled water,chewing gum,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
root vegetables,white bread,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
long life bakery product,bottled water,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
whole milk,brown bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,pip fruit,whipped/sour cream,shopping bags,domestic eggs,soda,cake bar,frozen meals,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
other vegetables,ice cream,,,,,,,,,
pork,tropical fruit,,,,,,,,,
margarine,other vegetables,,,,,,,,,
packaged fruit/vegetables,rolls/buns,domestic eggs,,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
mustard,domestic eggs,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
bottled water,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
white bread,beef,coffee,flour,,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
whole milk,other vegetables,pot plants,,,,,,,,
yogurt,citrus fruit,pastry,,,,,,,,
whole milk,newspapers,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
pork,liquor,,,,,,,,,
tropical fruit,tropical fruit,mayonnaise,,,,,,,,
frozen meals,tidbits,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
whole milk,napkins,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
cereals,rolls/buns,,,,,,,,,
pastry,chocolate,,,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
soda,semi-finished bread,coffee,,,,,,,,
yogurt,onions,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
soda,shopping bags,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
herbs,vinegar,chocolate,cleaner,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,brown bread,,,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
canned beer,pastry,,,,,,,,,
yogurt,salty snack,,,,,,,,,
bottled beer,curd,,,,,,,,,
yogurt,hamburger meat,,,,,,,,,
dish cleaner,fruit/vegetable juice,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
white wine,condensed milk,,,,,,,,,
salty snack,bottled water,,,,,,,,,
coffee,whole milk,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
root vegetables,fruit/vegetable juice,specialty chocolate,,,,,,,,
dessert,brown bread,,,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
tropical fruit,yogurt,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
ice cream,shopping bags,soda,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
ice cream,whole milk,,,,,,,,,
canned beer,salty snack,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
newspapers,bottled water,hard cheese,,,,,,,,
photo/film,shopping bags,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
canned beer,cereals,,,,,,,,,
soda,cleaner,cling film/bags,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
fruit/vegetable juice,detergent,yogurt,snack products,,,,,,,
other vegetables,sausage,whole milk,butter milk,packaged fruit/vegetables,,,,,,
citrus fruit,root vegetables,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
sugar,spread cheese,,,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
pork,specialty bar,soda,,,,,,,,
misc. beverages,newspapers,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,root vegetables,,,,,,,,,
citrus fruit,whole milk,beef,shopping bags,,,,,,,
whole milk,frozen meals,,,,,,,,,
brown bread,yogurt,,,,,,,,,
beverages,rice,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
finished products,whipped/sour cream,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
onions,oil,,,,,,,,,
beef,other vegetables,,,,,,,,,
spices,cat food,seasonal products,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
pickled vegetables,hygiene articles,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
sausage,pork,,,,,,,,,
sausage,pip fruit,bottled water,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
pastry,rolls/buns,,,,,,,,,
hamburger meat,pastry,cereals,,,,,,,,
bottled beer,long life bakery product,vinegar,pot plants,,,,,,,
pip fruit,cereals,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
light bulbs,pastry,domestic eggs,,,,,,,,
chicken,yogurt,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
frankfurter,dishes,rolls/buns,,,,,,,,
whole milk,newspapers,,,,,,,,,
beverages,coffee,,,,,,,,,
beef,bottled water,,,,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
other vegetables,tea,,,,,,,,,
pasta,soda,,,,,,,,,
brown bread,coffee,,,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
pot plants,soda,hygiene articles,,,,,,,,
soda,flower (seeds),,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
beef,ice cream,dish cleaner,,,,,,,,
pork,whole milk,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
pork,white wine,margarine,,,,,,,,
pastry,seasonal products,butter,bottled beer,,,,,,,
ham,pickled vegetables,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
shopping bags,curd,,,,,,,,,
margarine,liquor,,,,,,,,,
sugar,shopping bags,,,,,,,,,
sausage,cat food,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
rice,jam,,,,,,,,,
soda,bottled water,,,,,,,,,
frozen fish,beef,,,,,,,,,
other vegetables,snack products,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
fish,chicken,chicken,UHT-milk,other vegetables,cream cheese ,hard cheese,,,,
yogurt,berries,,,,,,,,,
fruit/vegetable juice,root vegetables,pastry,,,,,,,,
dessert,shopping bags,,,,,,,,,
soda,flour,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
whole milk,whole milk,,,,,,,,,
frankfurter,coffee,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
beef,bottled water,,,,,,,,,
rolls/buns,sliced cheese,,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
dishes,dessert,,,,,,,,,
chicken,white bread,,,,,,,,,
soda,cat food,,,,,,,,,
ham,yogurt,,,,,,,,,
whole milk,brown bread,,,,,,,,,
bottled water,sugar,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
dessert,curd,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,white wine,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
butter,canned beer,domestic eggs,specialty chocolate,specialty chocolate,soda,root vegetables,canned fish,,,
whole milk,whole milk,napkins,,,,,,,,
rolls/buns,soda,citrus fruit,spread cheese,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
specialty chocolate,canned beer,,,,,,,,,
yogurt,semi-finished bread,,,,,,,,,
yogurt,salty snack,,,,,,,,,
sausage,beverages,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
sausage,beverages,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
tropical fruit,salt,,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
citrus fruit,frozen meals,coffee,seasonal products,yogurt,soups,,,,,
root vegetables,other vegetables,,,,,,,,,
beef,root vegetables,,,,,,,,,
butter,whole milk,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
chicken,ice cream,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pip fruit,pasta,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
bottled beer,berries,,,,,,,,,
dessert,brown bread,,,,,,,,,
chicken,vinegar,,,,,,,,,
cake bar,shopping bags,,,,,,,,,
grapes,canned fish,,,,,,,,,
canned beer,rolls/buns,baking powder,,,,,,,,
sparkling wine,softener,,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
canned beer,whole milk,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
pork,packaged fruit/vegetables,chocolate,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,baking powder,,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
dental care,soda,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
tropical fruit,soda,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
hygiene articles,margarine,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
canned beer,white bread,,,,,,,,,
sausage,newspapers,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
herbs,pasta,,,,,,,,,
specialty chocolate,turkey,canned beer,soda,dental care,,,,,,
pork,candles,,,,,,,,,
yogurt,soda,,,,,,,,,
whole milk,pip fruit,whipped/sour cream,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
whole milk,grapes,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
beef,newspapers,,,,,,,,,
cream cheese ,pudding powder,,,,,,,,,
frozen vegetables,liquor (appetizer),,,,,,,,,
pork,napkins,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
other vegetables,white bread,,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
pastry,bottled beer,,,,,,,,,
canned beer,onions,,,,,,,,,
pip fruit,sauces,,,,,,,,,
canned beer,dishes,,,,,,,,,
rolls/buns,salty snack,waffles,,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
margarine,whole milk,berries,,,,,,,,
yogurt,coffee,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
whole milk,soda,mayonnaise,,,,,,,,
long life bakery product,sweet spreads,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
ham,citrus fruit,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
pip fruit,coffee,UHT-milk,,,,,,,,
butter milk,hygiene articles,,,,,,,,,
butter milk,newspapers,,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
brown bread,pastry,,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
whole milk,chocolate,,,,,,,,,
salty snack,soda,oil,,,,,,,,
margarine,citrus fruit,oil,,,,,,,,
soda,frankfurter,bottled water,chicken,,,,,,,
canned beer,dessert,fruit/vegetable juice,,,,,,,,
ham,tropical fruit,soda,,,,,,,,
canned beer,root vegetables,soda,,,,,,,,
white bread,coffee,,,,,,,,,
turkey,packaged fruit/vegetables,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
whipped/sour cream,domestic eggs,,,,,,,,,
whole milk,root vegetables,margarine,,,,,,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
tropical fruit,root vegetables,Instant food products,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
berries,dog food,,,,,,,,,
root vegetables,yogurt,specialty bar,,,,,,,,
beverages,mustard,yogurt,,,,,,,,
butter,waffles,,,,,,,,,
butter,root vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
curd,butter,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
meat,other vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
rolls/buns,seasonal products,margarine,,,,,,,,
soft cheese,white wine,,,,,,,,,
curd,ice cream,,,,,,,,,
ham,frankfurter,bottled water,shopping bags,specialty cheese,,,,,,
spread cheese,cooking chocolate,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
canned beer,yogurt,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
dessert,ham,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
grapes,curd,,,,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
soda,candy,,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
bottled beer,bottled water,,,,,,,,,
tropical fruit,oil,,,,,,,,,
dessert,chocolate,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
beef,root vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
beef,whole milk,,,,,,,,,
brown bread,waffles,,,,,,,,,
brown bread,flour,,,,,,,,,
canned beer,butter,,,,,,,,,
tropical fruit,flour,specialty chocolate,,,,,,,,
sausage,root vegetables,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pastry,napkins,,,,,,,,,
whole milk,soda,,,,,,,,,
chicken,condensed milk,,,,,,,,,
jam,house keeping products,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
rolls/buns,potato products,,,,,,,,,
whipped/sour cream,cat food,,,,,,,,,
citrus fruit,berries,,,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
curd,yogurt,,,,,,,,,
chicken,margarine,,,,,,,,,
cake bar,soda,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
hamburger meat,tropical fruit,beverages,yogurt,soda,,,,,,
pip fruit,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,rolls/buns,soda,other vegetables,,,,,,,
whole milk,bottled beer,,,,,,,,,
canned beer,grapes,UHT-milk,brown bread,,,,,,,
tropical fruit,berries,,,,,,,,,
ham,pork,pork,soda,,,,,,,
whole milk,onions,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
sausage,whipped/sour cream,waffles,,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
tropical fruit,other vegetables,hygiene articles,,,,,,,,
oil,ready soups,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,citrus fruit,whole milk,butter milk,salty snack,dessert,specialty chocolate,,,,
rolls/buns,butter,,,,,,,,,
canned beer,white bread,,,,,,,,,
rice,margarine,,,,,,,,,
whole milk,instant coffee,,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
frozen vegetables,cookware,,,,,,,,,
whipped/sour cream,oil,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
beef,meat spreads,,,,,,,,,
tropical fruit,pork,cream cheese ,UHT-milk,butter milk,,,,,,
pastry,berries,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
bottled water,salty snack,,,,,,,,,
specialty fat,red/blush wine,,,,,,,,,
grapes,ketchup,,,,,,,,,
other vegetables,bottled water,white bread,,,,,,,,
root vegetables,coffee,soda,,,,,,,,
brown bread,pet care,,,,,,,,,
soda,whole milk,,,,,,,,,
ice cream,onions,soda,,,,,,,,
pip fruit,whole milk,,,,,,,,,
soda,chocolate,,,,,,,,,
bottled water,yogurt,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
chicken,shopping bags,,,,,,,,,
pickled vegetables,butter,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
dessert,bottled water,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
white bread,brown bread,,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
yogurt,softener,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
grapes,whole milk,,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
frankfurter,root vegetables,,,,,,,,,
curd,rolls/buns,candy,,,,,,,,
citrus fruit,sauces,,,,,,,,,
soda,soda,cereals,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
yogurt,yogurt,,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
sausage,curd,,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
tropical fruit,whole milk,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
